FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
0.16604982,-0.071494326,-0.325894,-1.305093,0.26453534,0.76916856,0.41043875,-0.07196803,0.32115155,-0.0453942,-0.04190227,-0.6872614
0.12978546,-0.48446873,-0.4784506,-0.6636496,-0.3304131,-0.3633581,-0.78648037,-0.07689949,-2.1566415,-0.094546884,-0.3458364,-0.94494057
0.22270799,-0.08472911,0.09826947,0.15528604,-0.0692127,-1.1008325,0.09012378,0.0716,0.19492465,-0.065388724,-0.22576335,-0.46910685
-0.11639802,-1.1151918,0.16138111,0.5405617,0.66588974,0.4482656,0.41302136,0.16004942,0.26321256,-0.1504533,0.56775475,-0.019894117
-1.2246546,0.44403392,-0.23560122,1.1186502,-0.7313795,-0.33150935,-0.73523384,-0.05294659,0.24627222,-0.11754043,-0.55082834,1.3015556
-0.57060105,-0.4150212,-0.2694526,0.47510535,0.14704695,0.59926945,0.35551792,-0.19690867,0.27770105,-0.11342449,-0.08994948,1.4872857
0.3901437,0.277425,-0.23305711,1.1174073,-0.8948953,0.43077067,0.14034805,0.15635288,0.2553897,-0.07844681,1.3802755,2.2243395
-0.065528,0.21199559,0.43140563,0.5166033,-0.08197228,0.43831423,0.6731824,-0.015120267,0.37498903,-0.12111417,-0.6670864,1.1216139
1.8804356,0.70929164,-0.07636306,-0.6223106,1.4799565,-0.20504248,0.22679585,0.20518018,0.39647782,-0.007636683,0.04760165,1.1304764
0.47265536,0.7736667,-0.21004035,0.66526437,1.2218723,0.46469796,0.2553672,-0.13386686,0.2235038,-0.08665034,0.0042692707,1.3071705
0.4502964,0.8223807,1.4117814,0.7832464,0.35684323,0.60413706,1.2251624,0.25818956,-1.2524108,-0.023330871,0.09350306,-0.3756107
1.8539076,0.57450056,0.47427052,0.55456805,-0.22433469,0.10366709,-0.43416497,-0.06145758,0.35330614,-0.13606988,-0.761117,1.0267172
0.51535606,-0.16631615,-0.18402782,0.3580437,0.06608519,0.286726,0.79036885,0.19647247,-0.06289638,-0.053310227,-0.044145346,-1.1320075
0.06855942,-0.3740751,-0.38022813,0.6368945,-0.18705055,-0.39738464,-0.48117155,-0.033459943,0.37490073,-0.075406626,-0.50983685,-0.6684219
1.3181838,0.6041146,0.52911586,0.50544417,0.58330524,0.37322336,0.81135154,-0.09806311,0.2962564,0.090569966,0.047272097,-0.43388274
-1.1085328,-0.4031074,-0.18961586,0.34798592,-0.6933226,-0.05770363,-0.5691536,-0.09002818,0.18383579,-0.13416862,0.20756781,1.3498279
0.44215077,0.48024693,1.5357434,0.5474204,1.673051,0.12070723,-1.0247271,-0.03563858,-0.9045565,-0.07875629,-0.36849535,-0.2051474
0.3695186,-1.0459061,-0.12041779,-0.8509426,1.0341938,0.518588,0.16119654,-0.13780405,-2.0871503,-0.048287157,-0.49375895,-0.7385348
-0.10998944,-0.4307057,-0.40954274,0.6020161,0.123271525,-0.15512963,-0.58126,-0.3993525,0.39342406,-0.04859461,-0.539539,-0.50588316
0.652042,-0.19562118,-0.26045924,-0.20968165,1.6157217,-0.2519096,0.23888311,-0.33347732,-1.4243968,-0.077641524,-0.29604942,-1.0662099
-1.0289792,-0.3601528,0.60350823,0.39527345,0.36237147,0.8018241,-0.45605788,-0.053124238,0.43123126,-0.1276408,-0.07122493,1.2164626
-0.23388265,-0.44707054,0.7377167,-1.5379046,-0.25502878,0.4535285,0.16789529,-0.07537788,0.1463635,-0.033523608,-0.14768402,-0.760353
0.5412846,0.38950315,-0.37600914,-1.5459657,0.3869916,-0.38127488,0.20938796,0.079171,-1.4598627,-0.0815916,-0.7052049,-1.1148177
-1.2509068,-0.28875884,-0.35757032,0.44149977,-0.7185166,-0.38773748,-0.50029033,-0.04204913,0.16182679,-0.09915258,-0.32252693,0.98927045
0.07974305,0.24450149,0.041286964,-0.9990813,0.36402172,-0.043711647,0.18455411,-0.01581639,-1.8439893,-0.019540265,0.030994026,-1.0110965
-0.7686193,0.5528113,-0.37816656,0.8873637,-0.020849025,0.69398874,-0.5294439,-0.25936025,0.41320547,-0.048275255,0.24527374,-0.17748123
-1.389003,-0.3322948,-0.11573679,0.5252258,0.4661718,0.01650974,-0.54897696,-0.124636635,0.21243526,-0.1359313,-0.32873848,1.560967
-0.17770329,-0.11605272,-0.38388556,0.8504755,0.43159446,0.44321212,-0.6485204,-0.09062634,0.32962036,-0.08027964,-0.4538719,0.6678172
0.6992698,0.81573296,1.2577858,0.7193428,0.35173422,0.19480307,0.99198264,0.08254417,0.28177357,-0.026362136,1.23848,-0.4316699
0.06279877,0.35910892,0.8411358,0.76952153,0.0041266074,0.4676182,-0.40788463,-0.0071562454,0.14833976,-0.033092994,-0.14693667,-0.7366662
-0.37984365,-1.6589072,-1.8223987,0.43834132,-0.3720674,-0.6879139,-0.7235391,-0.6112783,0.12205614,-0.07353446,-0.09228777,-1.0518255
-0.59234065,-1.9292341,0.018187992,-2.2206397,-1.5903567,-0.47086158,-0.085625574,-0.13757648,0.18510848,-0.21367937,-0.17613588,-1.1573246
-0.86528635,0.07474769,-0.20693803,0.61133164,-0.54748875,-0.17998548,-0.41832733,-0.3433305,0.24542536,0.027808324,0.03934225,-0.26810744
-0.5251126,0.6621356,-0.22840314,0.8170484,-0.11158324,-2.0241141,0.36515546,-0.2970115,-3.6216962,-0.06033747,-1.8423312,1.0074221
-0.88133293,-0.08256024,-0.100811705,1.0638266,-0.21907288,-0.091073655,0.8372107,-0.12578511,0.47921267,-0.022364492,0.3343457,1.7314378
-0.42764416,-0.5434248,-0.19157644,0.9276944,-0.10354469,-0.30975237,-0.5450097,0.68106616,-0.61591125,-0.100272216,-0.13646322,1.9136072
0.50076115,0.41746733,-0.38633373,-1.3359618,-0.20516185,0.6623017,0.24143475,-0.13372087,0.32103866,-0.05143859,-0.110699065,-0.7601772
-0.2588814,-0.1590515,-0.35290807,0.6162766,-0.1703783,-0.01886488,0.78941816,-0.075711615,0.29151577,-0.013095982,-0.05415931,-0.23025389
0.6418316,0.023216804,-0.21995309,-1.058176,0.31876677,0.4196513,0.8079446,0.089799345,-2.3126686,-0.046700712,-0.27329448,1.2090205
-0.27390105,-0.3967823,-0.44416758,-0.88232756,0.20204303,-2.7213852,0.06115641,-0.16041084,0.16480424,-0.050311737,-1.0748054,0.86041975
-0.96471167,-0.03736476,0.091436334,1.317057,-0.7084665,0.6192495,0.8368294,0.091370896,0.22783226,-0.019051615,-0.17172727,1.966021
1.925275,0.23345268,-0.17976435,0.25499946,0.5677412,0.44902015,-0.30732027,0.21568893,0.4132922,-0.016878795,-0.008666055,-0.78631794
-0.85520625,0.115808904,-0.49310207,0.84910357,-0.7407858,0.603867,-0.436455,-0.018893644,0.16213368,-0.05003793,0.20887327,-0.5852458
-0.099047914,0.58816737,-0.329442,0.23581459,0.0020330301,0.25851557,-0.69549394,0.018625086,-0.02389228,-0.12492795,-0.114334114,-1.5273194
-0.046873495,0.87476236,1.4132969,0.70436007,-0.61946565,-0.42165047,1.2128105,0.25586545,-2.0333726,-0.010064718,-0.0034335037,-0.19800602
-0.12661327,-0.6232011,-0.43931043,0.46463317,-0.10960321,-0.36559364,-0.64052874,-0.13476047,0.31525144,-0.047314,0.5078321,-0.8970352
0.606147,0.56949025,0.21202376,0.8622781,0.019474344,0.73290265,0.26719952,0.048276775,0.504238,-0.028404204,-0.14121468,-0.54717636
1.5893826,0.5061379,-0.14000368,-0.754515,0.3312839,0.37024835,0.77271545,-0.18570909,0.3135936,0.08962639,-0.060739074,1.1005031
0.3471035,-1.8340039,0.4550844,-0.18270281,-0.07842262,0.722971,-0.5885997,-0.2621957,0.39192635,-0.27969775,-0.29903203,-0.69347596
-0.75020415,0.8435041,-0.17383473,1.2473323,0.12531906,0.55949754,1.1079961,0.11093101,0.18973975,-0.038139746,0.28562814,1.6017054
-1.0355577,-0.47521672,-0.19267966,-0.53602684,0.27407098,-0.52464706,-0.51984596,-0.45889607,0.17350958,-0.13053474,-0.36258236,-1.1414529
0.28970414,-0.15521275,-0.17733334,0.71184033,0.015079995,0.54853565,-0.39702907,0.08361497,0.35311717,-0.047314,0.23997216,-0.03165256
0.12711306,1.1869891,1.1962271,0.6467444,-0.6071652,0.1073212,0.7321185,-0.08786563,0.40954745,-0.01981598,0.08308154,1.2154647
-2.299561,-0.47906643,-0.31501138,0.38658053,-0.566436,-0.45071533,-0.62776595,-0.14103764,0.29696998,-0.050519995,0.0098325545,-0.6966549
0.23638353,-0.9355303,0.067248814,0.501251,-0.3774763,-0.43910837,0.27776983,-0.32367942,0.2482844,-0.0035003005,-0.5456151,-1.2722082
0.029425595,0.49326456,-0.0065961126,0.6796925,-0.52982193,-0.16463007,-0.69170475,-0.10218495,0.31313604,-0.04875732,-0.21028654,-0.6655979
0.32843944,-3.3502154,-2.0285695,-0.398339,-0.13358155,0.061233126,-0.83232516,-0.14668885,0.16215749,-0.37967202,-0.19837482,0.97367424
0.426602,-1.8450356,0.5094313,-0.36106035,0.035592638,0.010938333,-0.6585258,-0.12863868,0.21607709,-0.2727664,-0.40511116,-0.9242861
0.44800317,0.36422178,1.2132939,-1.0216404,0.5058707,-0.3215241,0.25878757,0.2697821,0.29395393,-0.01558489,0.43710747,-0.48389104
0.3628373,0.16221994,-0.40027523,-1.4778107,0.21217544,0.46827698,-0.46229738,-0.1307341,0.2828615,-0.08056502,-0.027538672,-0.8148267
-1.3976854,-0.4782525,0.16546145,0.15628834,0.14130153,-0.4720199,-0.47393024,-0.24520597,0.044521153,-0.11390655,-0.28948146,-1.1367269
1.4553064,0.32722685,-0.38914135,-0.020375412,-0.46627247,-0.29012656,0.18236957,0.21219173,-2.0366662,-0.06271726,-0.15041676,-0.68412876
-0.28026542,0.7500148,-0.42690927,0.51391166,0.4821603,0.6485102,0.27564487,-0.036156435,-2.3466456,-0.07230908,-0.02313254,1.2810544
0.24963555,0.74626756,0.17115615,-1.3734084,-0.1546283,0.69174945,1.0976211,0.023165274,-2.281329,-0.041699417,0.018393522,2.6526916
-0.16800025,-0.7963875,-0.42403314,0.53896,-0.32754192,-0.08024006,0.2964104,-0.113587864,-3.4216573,-0.027035596,-0.32994553,-0.85165644
-2.5147052,0.01363522,-0.13846898,0.58202636,-0.9374519,-0.2138105,-0.41858026,-0.30833542,0.16034666,-0.045514647,-0.23898971,-0.71482307
2.1539493,-0.97203493,0.6208373,-0.7542428,0.1469666,0.535943,-0.0018509994,0.20547576,0.22739892,0.027140934,-0.18727402,-1.2399684
-0.21737236,-0.01946868,0.08028855,0.6296497,-0.11526965,-0.021610722,0.7797219,-0.08960379,0.47872254,-0.0049436195,0.19214311,-0.70542246
0.48295185,0.17571817,-0.27159274,0.7092025,-0.14561053,0.68372864,0.3392329,-0.04966687,0.3062243,-0.03197737,-0.07602037,-0.6826088
-0.35428354,0.6430738,-0.26540002,-1.5051793,-0.38279969,-0.3770126,0.23233186,-0.07044601,0.24210532,-0.06672129,0.31157833,1.0069898
