FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
0.34389535,0.028283658,-1.8775463e-05,0.33186087,1.0499437,-0.0002820578,-0.26417515,-0.22161019,-0.46733505,-0.13615201,-0.5450314,-1.2794998
0.23377508,0.017844984,-0.42519006,0.48800036,-1.5087552,-0.32502016,-0.5740853,-0.06048375,-0.036299527,-0.22387652,0.7543664,1.2096072
-0.03924363,-0.4751149,-0.0454659,-0.00043675303,-0.19519556,-0.056374773,0.09762883,-0.20360588,0.19508235,-0.17911883,-0.2878214,-1.0054487
-0.53530496,0.064612955,0.14282373,0.26239848,-0.500526,-0.16720712,-0.103684,-0.46809834,0.15307209,-0.40956435,-0.13109446,0.7731461
-0.11975169,0.10806834,0.26695445,-0.06764132,-0.58082616,0.19608213,0.09126883,0.46955112,0.057182275,-0.2742876,0.8451882,0.8037786
1.2548193,-0.2808251,-0.4613268,-0.3212506,1.3414938,-0.1821017,-0.22597459,0.8548821,-0.098362416,-0.15956154,0.11083892,0.9405502
-0.0014032885,-0.25404772,-0.19472358,0.12956917,-0.4919924,-0.18060607,0.15488197,-0.38104948,-0.21663138,-0.3739415,-0.22625236,0.99298847
-0.41943982,-0.026553884,0.103254944,0.18401279,-0.21537247,-0.50437486,-0.12301871,-0.2739276,-0.2838604,-0.22814332,0.245115,-0.79738075
-0.49378762,-0.008914599,-0.029849019,0.15768044,-0.597106,-0.104906335,-0.08138217,0.04127875,0.049698114,-0.29042584,-0.21922548,0.020700501
-0.5356069,-0.07173559,0.4536726,-1.0846289,-0.4547982,0.16717623,-0.046901643,0.06566065,0.16256557,-0.16748148,0.14568956,-0.6862087
-0.5121096,0.54750454,0.13533188,0.15507288,-1.2232449,-0.09667365,0.118693136,-0.2691093,-0.034844495,-0.24180543,-0.11278,0.35230014
-0.29388583,0.5370308,0.35290283,0.41360432,-0.39679545,-0.02652403,-0.064931564,0.19152756,0.13876542,-0.3519985,0.10476689,-1.2322457
-0.52147907,-0.024347896,0.65805817,-1.4085296,-0.56615764,-0.14745153,0.053600222,-0.26671106,0.16183348,-0.30587265,-0.25368318,0.7722256
-0.6736056,-0.1576832,0.33416107,-1.4676633,-0.23036233,0.2948868,-0.04690832,0.0700541,0.16705756,-0.36121893,-0.17574964,-0.5401233
1.1063274,-0.018113261,0.00812534,-0.079905234,0.76590836,0.029176435,-0.19216895,-0.2812012,-0.54467434,-0.15934046,0.02732043,-1.6188772
-0.1729633,0.06049711,0.09059368,-0.44035175,-0.33611757,-0.11317239,0.040141203,-0.38669524,0.21502508,-0.2580852,-0.36725473,-1.1455541
-0.08261889,0.3472529,0.020193927,0.5943524,-0.2268223,0.27783588,0.008615911,0.055755015,-0.19334745,-0.30975693,-0.2456729,1.3941784
-0.24139726,-0.04225886,-0.09035291,-0.6912893,0.6911052,0.042818066,0.17699791,0.05552674,-0.24857424,-0.16461284,-0.18147734,-1.749483
-0.11738252,-0.039667796,0.057239298,-0.026686225,-0.11993372,-0.023203667,-0.09143342,0.10442006,-0.14720923,-0.1887506,-0.18767516,-0.50937724
-0.13523704,0.058635775,-0.1948789,0.4375022,-0.39476854,-0.6152637,-0.19345008,0.11327022,-0.1694525,-0.18439822,-0.14445907,-0.827064
-0.14283712,0.010860797,-0.026814664,0.7253167,1.3191829,-0.15080085,-0.5697599,-0.29152364,-0.2779753,-0.2525699,0.43363962,1.3241138
-0.7019371,0.08296385,0.1649028,-0.004018942,-0.76075035,-0.07676883,-0.02947488,0.033220384,0.12245003,-0.2497331,0.50153804,0.73633426
-0.5043985,-0.03845799,-0.059645586,0.14046982,-0.18303579,-0.005230613,-0.14064918,-0.45056233,0.1320542,-0.26179117,-0.11895416,0.2787211
-0.17978048,-0.1022894,-0.016720802,0.1564311,-0.73944616,-0.25917187,0.13634096,0.012065424,-0.10263572,-0.29239756,-0.20690908,0.51021683
-0.24407284,0.10120102,-0.14492701,0.18132262,-0.63559824,0.14525503,0.39598942,0.09698444,0.06581623,-0.22678554,1.1275116,0.9060288
1.4485985,0.17820229,-0.14631486,0.86496335,1.3340871,0.08813418,0.27273676,-0.18034352,-0.13799272,-0.17425488,1.2264717,1.3570697
0.02935942,0.056710247,-0.23255846,0.13591501,0.92284167,0.12867548,0.14910097,-0.13876808,-0.18515217,-0.21064621,-0.30049932,0.54569346
0.2776969,-0.16498901,0.28018352,0.19555098,0.92235833,0.16860268,0.011766781,0.029701198,-0.18607548,-0.21272469,-0.22553073,-0.5613062
0.62330204,0.09233301,0.06014936,0.5987695,-0.9592974,-0.121769026,0.085564256,0.4436975,0.11603647,-0.1709669,-0.461124,1.1098164
-0.13944072,-0.08918731,-0.33114675,0.12266402,1.0293256,-0.14914346,0.18284653,0.14016804,0.16474457,-0.19458497,-0.45191956,0.18143222
-0.0054678023,-0.022076337,0.0194734,0.25269186,-0.30631214,-0.07150429,0.0031719021,0.122112684,0.17980812,-0.23514724,0.2859797,-0.22490372
1.1800362,-0.13674508,0.036724374,0.34329146,0.7975331,0.1525411,0.024771113,0.24345522,-0.23290937,-0.22521807,-0.47912568,0.49884316
-0.41925293,-0.02728693,0.29040763,0.12767982,-0.72747636,-0.10015404,-0.10214418,0.0975394,0.08831114,-0.31232622,-0.38069123,1.2420086
-0.17828076,0.0017544329,0.16920245,0.22794548,0.3947256,0.12845203,0.017178172,-0.6674855,-0.2865485,-0.3721566,-0.15956709,-1.0443062
-0.31636745,-0.25737843,0.082350306,-0.30952877,0.82846373,-0.10199432,0.053322192,0.32152045,-0.55563676,-0.20237891,-0.31011057,-1.1379782
0.11589113,0.199831,0.15018703,0.40800595,-0.1284387,-0.032604557,0.023967395,-0.34811917,0.22998196,-0.24227756,-0.2865689,-0.9346861
0.3593861,-0.047026,0.0040395604,0.32739764,0.8878805,-0.0315518,0.22941749,-0.0054002963,-0.25690922,-0.146099,0.1005683,-1.2395573
-0.49970555,-0.02618798,-0.27635026,0.05272205,0.55885786,0.18155774,-0.015931716,0.06630558,0.12114576,-0.33726272,-0.3065899,1.2065347
-0.0421971,-0.0250107,-0.3351217,-0.59070456,-0.3126023,1.3142577,-0.34773105,0.071693994,-0.13198091,-0.23233877,0.0046638288,-0.8095478
0.31312996,-0.076608285,-0.42420375,-0.54673713,0.71806526,-0.025037501,0.16534285,0.20335329,0.102137096,-0.15891148,0.84725475,0.687271
-0.75054896,-0.15738767,0.15425056,0.19121292,-0.7953971,-0.10000402,-0.08841285,0.06846679,0.11794341,-0.27951667,-0.011925009,0.840605
-0.15477176,0.19424154,0.027272996,-0.2859333,0.8613164,-0.0150825195,0.19165511,0.08417395,-0.08023161,-0.15275331,-0.23293874,-1.9043005
-0.57938796,0.031187776,0.01785458,0.17249067,-0.15526494,0.12386861,-0.08464694,-0.39289355,0.21940504,-0.1987255,-0.20662172,-1.0578088
-0.9974243,-0.17945404,0.2691732,-0.22506657,0.30750197,-0.12134293,0.15657376,-0.626836,0.07149475,-0.2782228,0.29249278,0.9772728
-0.037585415,0.07168885,-0.06475893,0.18526445,0.69583815,0.10380862,-0.057400674,-0.55303746,0.18528472,-0.28224358,-0.18152101,1.1754426
-0.15071791,0.05152336,0.28675833,0.1983185,0.73170453,-0.036340646,-0.158131,0.13640034,0.19061354,-0.36970398,-0.3313723,-0.57327116
0.121528015,0.03983277,0.27224615,0.3804718,-0.16757014,0.03926539,-0.15126735,0.26371294,-0.285956,-0.25960907,-0.15986305,-1.3934885
-0.0029609464,0.100971125,0.3987346,0.28950253,0.46018407,-0.030352773,0.027995149,-0.65907335,-0.34609807,-0.32943457,-0.36216086,-1.3624753
-0.2900959,-0.19271156,-0.40746263,-0.05878465,-0.60190326,0.28169394,0.11617848,0.27846962,-0.1330814,-0.27707884,-0.24107501,-1.0746881
