FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,CareerSat,PromSat,SalSat,AnnSalary,PromFreq,OwnOffice,CarAccess,Budget,Employee,ProfSat_composite,MatSucc_composite,ProfStd,Gender,MonthsInJob,Age,IM,Gender_male,ProfSat_z,MatSucc_z
35,35,14,95,6,6,8,11,8,6,5.0,5,2,3.0,1,1,1,3,18,11.0,6,2,30.0,30,28.0,1,0.06210781240980806,0.10338238523410187
32,24,11,81,3,11,10,9,9,8,5.0,7,2,3.0,3,1,3,3,22,15.0,10,2,10.0,31,27.0,1,0.7567658926112282,1.0322333541066484
50,26,11,100,5,12,13,13,12,8,3.0,3,1,1.0,1,1,2,1,15,7.0,5,2,53.0,27,47.0,1,-0.45888574774125707,-0.8254685836384446
44,34,13,104,9,8,8,12,9,6,5.0,6,3,2.0,1,1,1,1,20,9.0,4,2,142.0,30,19.0,1,0.40943685251051815,-0.36104309920217137
43,29,9,96,8,8,11,8,11,4,5.0,4,2,1.0,1,1,1,1,15,7.0,4,2,4.0,35,35.0,1,-0.45888574774125707,-0.8254685836384446
38,29,11,94,7,12,10,13,9,6,1.0,4,2,1.0,1,1,1,1,13,7.0,4,2,12.0,30,28.0,1,-0.8062147878419671,-0.8254685836384446
47,31,15,106,13,7,12,13,12,9,5.0,8,3,8.0,5,1,5,2,25,24.0,13,2,18.0,36,9.0,1,1.2777594527622933,3.1221480340698777
46,37,10,105,8,8,8,11,8,4,5.0,6,2,1.0,1,1,1,1,17,7.0,4,2,22.0,27,29.0,1,-0.11155670764054698,-0.8254685836384446
36,46,14,109,9,9,4,11,8,7,6.0,7,4,2.0,1,1,1,2,24,11.0,5,2,36.0,38,27.0,1,1.1040949327119383,0.10338238523410187
31,42,14,95,8,7,11,6,7,6,4.0,6,2,1.0,1,1,1,1,18,7.0,4,2,1.0,24,19.0,1,0.06210781240980806,-0.8254685836384446
42,31,10,97,11,8,10,10,9,8,4.0,3,1,1.0,1,1,1,1,16,6.0,4,2,14.0,22,,1,-0.285221227690902,-1.0576813258565811
28,29,13,79,6,9,9,7,7,6,4.0,5,2,8.0,1,1,1,1,17,14.0,4,2,66.0,28,31.0,1,-0.11155670764054698,0.8000206118885117
38,32,9,94,5,8,7,7,11,5,5.0,3,2,4.0,1,1,1,1,15,10.0,4,2,24.0,32,38.0,1,-0.45888574774125707,-0.12883035698403475
35,34,12,96,5,11,11,11,6,5,5.0,5,2,5.0,1,1,1,1,17,11.0,4,2,336.0,50,34.0,1,-0.11155670764054698,0.10338238523410187
46,35,12,101,8,10,10,10,11,6,5.0,7,4,1.0,1,1,1,2,22,10.0,5,2,109.0,40,29.0,1,0.7567658926112282,-0.12883035698403475
45,27,18,98,4,9,11,13,9,8,7.0,4,1,1.0,1,1,1,1,20,6.0,4,2,11.0,22,19.0,1,0.40943685251051815,-1.0576813258565811
34,33,8,87,6,9,12,11,10,7,6.0,5,2,2.0,6,1,1,2,20,14.0,10,2,,23,37.0,1,0.40943685251051815,0.8000206118885117
22,37,16,89,6,6,12,5,5,8,3.0,4,2,2.0,1,1,1,2,17,9.0,5,2,89.0,35,28.0,1,-0.11155670764054698,-0.36104309920217137
39,25,14,88,4,7,10,8,8,7,7.0,6,2,2.0,1,1,1,1,22,8.0,4,2,26.0,31,29.0,1,0.7567658926112282,-0.593255841420308
42,31,12,98,10,7,8,8,11,8,8.0,8,2,7.0,2,3,2,1,26,17.0,8,2,336.0,55,33.0,1,1.4514239728126483,1.4966588385429216
48,33,9,100,8,11,10,11,11,6,6.0,6,2,2.0,1,1,1,1,20,8.0,4,2,22.0,32,21.0,1,0.40943685251051815,-0.593255841420308
26,32,15,85,5,6,9,4,8,7,8.0,7,2,3.0,3,5,1,1,24,15.0,10,2,12.0,32,37.0,1,1.1040949327119383,1.0322333541066484
35,27,10,84,7,7,10,8,9,5,7.0,6,1,2.0,1,1,2,2,19,9.0,6,2,15.0,28,35.0,1,0.2357723324601631,-0.36104309920217137
36,35,12,99,5,11,7,8,12,3,4.0,1,1,3.0,1,1,1,2,9,9.0,5,2,8.0,24,28.0,1,-1.5008728680433874,-0.36104309920217137
46,35,8,106,9,11,11,9,11,3,7.0,5,1,3.0,1,1,1,3,16,10.0,6,2,37.0,32,46.0,1,-0.285221227690902,-0.12883035698403475
27,24,6,69,3,13,11,8,12,4,5.0,5,1,3.0,1,1,1,1,15,8.0,4,2,12.0,44,46.0,1,-0.45888574774125707,-0.593255841420308
37,27,9,86,5,7,12,12,10,8,8.0,7,4,3.0,4,1,4,2,27,18.0,11,2,35.0,36,30.0,1,1.6250884928630034,1.7288715807610582
38,28,10,90,10,8,9,10,10,5,5.0,5,1,1.0,1,1,2,2,16,8.0,6,2,28.0,30,43.0,1,-0.285221227690902,-0.593255841420308
28,31,10,78,5,9,13,8,5,6,9.0,2,2,4.0,1,1,6,3,19,17.0,11,2,90.0,43,27.0,1,0.2357723324601631,1.4966588385429216
43,28,16,94,6,12,9,13,10,4,8.0,9,4,7.0,1,1,7,4,25,24.0,13,2,,40,31.0,1,1.2777594527622933,3.1221480340698777
38,31,8,93,12,9,13,13,9,5,1.0,7,3,1.0,1,1,1,1,16,8.0,4,2,49.0,41,36.0,1,-0.285221227690902,-0.593255841420308
39,29,5,83,8,11,10,12,8,7,5.0,6,3,8.0,1,1,2,2,21,17.0,6,2,24.0,35,38.0,1,0.5831013725608732,1.4966588385429216
50,31,14,109,9,11,6,11,12,6,7.0,3,1,2.0,1,1,1,1,17,7.0,4,2,,26,32.0,1,-0.11155670764054698,-0.8254685836384446
42,29,12,95,7,10,11,12,10,7,5.0,5,2,2.0,1,1,1,2,19,9.0,5,2,97.0,28,23.0,1,0.2357723324601631,-0.36104309920217137
